Broj_projekta	Naziv_projekta_HR	Naziv_projekta_EN	Glavni_prezime	Glavni_ime	Glavni_MB	Godina_pocetka	Godina_zavrsetka	Sifra_PS	Sifra_ustanove	Sifra_podrucja	Sifra_polja	Sifra_grane
001-0000000-3177	Vrijeme zadržavanja bakterije Escherichia coli  u moru i morskim organizmima	Residence time of bacteria Escherichia coli in seawater and marine organisms	Šoliæ	Mladen	117375	2007	2009	1-01	1	1.00      	1.01	1.01.05
001-0000000-3203	Bioraznolikost bentosa u promjenjivom okolišu srednjeg Jadrana	Benthic biodiversity in dynamic environment of Middle Adriatic	Antoliæ	Boris	766	2007	2009	1-03	1	1.00      	1.03	1.03.05
001-0000000-3633	Dinamika i patologija parazitofaune u sustavu uzgoja morskih riba	Dynamic and pathology of parasitofauna in reared marine fish systems	Mladineo	Ivona	261660	2007	2009	3-11	1	3.00      	3.04	3.04.32
001-0010501-0560	Istraživanja zootehnièkih i okolišnih uvjeta uzgoja riba i glavonožaca	Zootechnical and environmental aspects of fish and cephalopode culture	Kataviæ	Ivan	78984	2007	2009	4-01	1	4.00      	4.01	4.01.14
001-0010501-0848	Ekološka istraživanja toksiènog fitoplanktona i toksiènosti školjkaša	Ecological research on toxic phytoplankton and shellfish toxicity	Ninèeviæ	Živana	204912	2007	2009	1-01	1	1.00      	1.01	1.01.03
001-0013077-0532	Bioraznolikost i održivo gospodarenje pelagièkim i demerzalnim resursima Jadrana	Biodiversity and management of pelagic and demersal resources of the Adriatic	Vrgoè	Nedo	200390	2007	2009	4-01	1	4.00      	4.04	4.04.02
001-0013077-0844	Gospodarenje i bioraznolikost živih bogatstava u hrvatskom priobalju	Management and biodiversity of sea living resources in Croatian coastal area	Dulèiæ	Jakov	168644	2007	2009	1-01	1	1.00      	1.01	1.01.07
001-0013077-0845	Uloga planktonskih zajednica u protoku energije i kruženju tvari u Jadranu	Role of plankton communities in the energy and matter flow in the Adriatic Sea	Krstuloviæ	Nada	24065	2007	2009	1-01	1	1.00      	1.01	1.01.03
001-0013077-1118	Kooscilacije atmosfere i mora važne za ekosustav Jadrana	Cooscillations of atmosphere and the sea important for the Adriatic ecosystem	Moroviæ	Mira	79634	2007	2009	1-03	1	1.00      	1.03	1.03.05
001-0013077-1122	Istraživanje i sustavi praæenja neuobièajene dinamike Jadrana	Investigation and monitoring systems for the unusual Adriatic dynamics	Vilibiæ	Ivica	225274	2007	2009	1-03	1	1.00      	1.03	1.03.05
