Sifra_grane	NazivHR	NazivEN
1.01.01	biokemija i molekularna biologija	biochemistry and molecular biology
1.01.02	botanika	botany
1.01.03	ekologija	ecology
1.01.04	genetika	genetics
1.01.05	mikrobiologija	microbiology
1.01.06	opæa biologija	general biology
1.01.07	zoologija	zoology
1.02.01	astrofizika i astronomija 	astrophysics and astronomy 
1.02.02	atomska i molekularna fizika	atomic and molecular physics
1.02.03	biofizika i biomedicina	biophysics and biomedicine
1.02.04	fizika elementarnih èestica	elementary particle physics
1.02.05	fizika kondenzirane tvari	condensed substance physics
1.02.06	geofizika s meteorologijom	geophysics with meteorology
1.02.07	nuklearna fizika	nuclear physics
1.03.01	fizièka geografija	physical geography
1.03.02	geofizika s meteorologijom	geophysics with meteorology
1.03.03	geologija	geology
1.03.04	mineralogija	mineralogy
1.03.05	oceanologija	oceanology
1.04.01	analitièka kemija	analytic chemistry
1.04.02	anorganska kemija	inorganic chemistry
1.04.03	fizikalna kemija	physical chemistry
1.04.04	medicinska kemija i biokemija	medical chemistry and biochemistry
1.04.05	organska kemija	organic chemistry
1.04.06	teorijska kemija	theoretical chemistry
1.05.01	algebra	algebra
1.05.02	geometrija i topologija	geometrics and topology
1.05.03	kombinatorna i diskretna matematika	combination and discrete mathematics
1.05.04	matematièka analiza	mathematical analysis
1.05.05	matematièka logika i raèunarstvo	mathematical logic and computer science
1.05.06	numerièka matematika	numerical mathematics
1.05.07	primjenjena matematika i matematièko modeliranje	applied mathematics and mathematical modelling
1.05.08	teorija vjerojatnosti i statistika	probability theory and statistics
1.05.09	ostalo	other
2.01.01	arhitektonsko projektiranje	architectural planning
2.01.02	urbanizam i prostorno planiranje	urban and zone planning
2.01.03	arhitektonske konstrukcije, fizika zgrade, materijali i tehnologija graðenje	architectural constructions, building physics, materials and construction technology
2.01.04	povijest i teorija arhitekture i zaštita graditeljskog nasljeða	architecture history and theory, and building heritage protection
2.01.05	pejsažna arhitektura	landscape architecture
2.02.01	konstrukcija plovnih objekata	navigation vessels construction
2.02.02	hidromehanika plovnih objekata	navigation vessels hydromechanics
2.02.03	osnivanje plovnih objekata	navigation vessels design
2.02.04	tehnologija gradnje i održavanje plovnih objekata	building technology and maintenance of navigation vessels
2.03.01	elektroenergetika	electro-energetics
2.03.02	elektrostrojarstvo	electromechanical engineering
2.03.03	elektronika	electronics
2.03.04	telekomunikacije i informatika	telecommunications and information science
2.03.05	radiokomunikacije	radiocommunications
2.04.01	kartografija	cartography
2.04.02	fotogrametrija i daljinska istraživanja	photogrametry and distant research
2.04.03	pomorska, satelitska i fizikalna geodezija	maritime, satellite and physical geodetics
2.04.04	primjenjena geodezija	applied geodetics
2.04.05	geomatika	geomatics
2.05.01	geotehnika	geotechnics
2.05.02	nosive konstrukcije	core structures
2.05.03	hidrotehnika	hydrotechnics
2.05.04	prometnice	traffic roads
2.06.01	procesi grafièke reprodukcije	graphic reproduction processes
2.07.01	reakcijsko inženjerstvo	reaction engineering
2.07.02	mehanièki, toplinski i separacijski procesi	mechanical, thermal and separation processes
2.07.03	analiza i sinteza procesa	process analysis and synthesis
2.08.01	procesna metalurgija	process metallurgy
2.08.02	mehanièka metalurgija	mechanical metallurgy
2.08.03	fizièka metalurgija	physical metallurgy
2.09.01	arhitektura raèunalnih sustava	computer system architecture
2.09.02	informacijski sustavi	information systems
2.09.03	obradba informacija	information processing
2.09.04	umjetna inteligencija	artificial intelligence
2.09.05	procesno raèunarstvo	dana processing computer science
2.10.01	rudarstvo	mining
2.10.02	naftno rudarstvo	petroleum engineering
2.10.03	geološko inženjerstvo	geological inženjerstvo
2.11.01	opæe strojarstvo (konstrukcije)	general mechanical engineering (constructions)
2.11.02	procesno energetsko strojarstvo	processing energetic engineering
2.11.03	proizvodno strojarstvo	production mechanical engineering
2.11.04	brodsko strojarstvo	ship mechanical engineering
2.12.01	cestovni i željeznièki promet	road and railway transport
2.12.02	pomorski i rjeèni promet	maritime and river transport
2.12.03	poštansko-telekomunikacijski promet	post and telecommunication traffic
2.12.04	zraèni promet	air transport
2.12.05	ineligentni transporti sustavi i logistika	intelligent transportation systems and logistics
2.13.01	tekstilno mehanièko inženjerstvo	textile mechanical engineering
2.13.02	tekstilna kemija	textile chemistry
2.13.03	odjevna tehnologija	clothing technology
2.13.04	dizajn tekstila i odjeæe	textile and clothing design
2.14.01	konstrukcija i osnivanje letjelica	vessel construction and design
2.14.02	zrakoplovne tehnologije i održavanje	aircraft technologies and maintenance
2.14.03	voðenje i upravljanje letjelicama	aircraft pilotage and control
2.15.01	automatika	automatics
2.15.02	energetika	energetics
2.15.03	materijali	materials
2.15.04	mehanika fluida	fluid mechanics
2.15.05	organizacija rada i proizvodnje 	work and production organization
2.15.06	tehnièka mehanika (mehanika krutih i deformabilnih tijela)	operating mechanics (solid and deformable bodies mechanics)
2.15.07	termodinamika	thermodynamics
2.15.08	zaštita okoliša	environment protection
3.01.01	anatomija	anatomy
3.01.02	anesteziologija	anesthesiology
3.01.03	citologija, histologija i embriologija	cytology, histology and embryology
3.01.04	dermatologija	dermatology
3.01.05	epedmiologija	epidemilogy
3.01.06	farmacija	pharmacy
3.01.07	farmakologija i toksilogija	pharmacology and  toxicology
3.01.08	fizikalna medicina i rehabilitacija	physical therapy and rehabilitation
3.01.09	fiziologija	physiology
3.01.10	genetika	genetics
3.01.11	ginekologija, opstetricija i reproduktivna medicina	gynaecology, obstetrics and reproductive medicine
3.01.12	higijena	hygiene
3.01.13	imunologija i imunohematologija	immunology and immunohaemathology
3.01.14	infektologija	infectology
3.01.15	interna medicina	internal medicine
3.01.16	javno zdravstvo	public health
3.01.17	kirurgija	surgery
3.01.18	klinièka farmakologija s toksikologijom	clinical pharmacology with toxicology
3.01.19	klinièka kemija i laboratorijska medicina	clinical chemistry and laboratory medicine
3.01.20	medicina rada	professional diseases medicine
3.01.21	medicinska biokemija	medical biochemistry
3.01.22	medicinska mikrobiologija	medical microbiology
3.01.23	molekularna medicina	molecular medicine
3.01.24	neurologija	neurology
3.01.25	neuroznanost	neuroscience
3.01.26	nuklearna medicina	nuclear medicine
3.01.27	oftalmologija	ophthalmology
3.01.28	onkologija	oncology
3.01.29	opæa medicina	general medicine
3.01.30	ortopedija	orthopedics
3.01.31	otorinolaringologija	otorhinolaryngology
3.01.32	patologija	pathology
3.01.33	pedijatrija	pediatrics
3.01.34	psihijatrija	psychiatry
3.01.35	radiologija	radiology
3.01.36	sestrinstvo	nursing
3.01.37	socijalna medicina	social medicine
3.01.38	stomatologija i oralna kirurgija	stomatology and oral surgery
3.01.39	sudska medicina	forensic medicine
3.01.40	urologija	urology
3.01.41	veterinarska medicina	veterinary medicine
3.01.42	zdravstvena ekologija	health ecology
3.02.01	anatomija	anatomy
3.02.02	anesteziologija	anesthesiology
3.02.03	citologija, histologija i embriologija	cytology, histology and embryology
3.02.04	dermatologija	dermatology
3.02.05	epedmiologija	epidemiology
3.02.06	farmacija	pharmacy
3.02.07	farmakologija i toksilogija	pharmacology and  toxicology
3.02.08	fizikalna medicina i rehabilitacija	physical therapy and rehabilitation
3.02.09	fiziologija	physiology
3.02.10	genetika	genetics
3.02.11	ginekologija, opstetricija i reproduktivna medicina	gynaecology, obstetrics and reproductive medicine
3.02.12	higijena	hygiene
3.02.13	imunologija i imunohematologija	immunology and immunohaemathology
3.02.14	infektologija	infectology
3.02.15	interna medicina	internal medicine
3.02.16	javno zdravstvo	public health
3.02.17	kirurgija	surgery
3.02.18	klinièka farmakologija s toksikologijom	clinical pharmacology with toxicology
3.02.19	klinièka kemija i laboratorijska medicina	clinical chemistry and laboratory medicine
3.02.20	medicina rada	professional diseases medicine
3.02.21	medicinska biokemija	medical biochemistry
3.02.22	medicinska mikrobiologija	medical microbiology
3.02.23	molekularna medicina	molecular medicine
3.02.24	neurologija	neurology
3.02.25	neuroznanost	neuroscience
3.02.26	nuklearna medicina	nuclear medicine
3.02.27	oftalmologija	ophthalmology
3.02.28	onkologija	oncology
3.02.29	opæa medicina	general medicine
3.02.30	ortopedija	orthopedics
